Scenario,Electricity production 2018 (EJ),Electricity production 2050 (EJ),CO2 emissions 2018 (MtCO2),CO2 emissions 2050 (MtCO2),facteur emission 2018 (MtCO2/EJ),facteur emission 2050 (MtCO2/EJ)
Planned Energy Scenario,94.96307643,177.3856891,11524.99765,11853.9062,121.362934766497,66.8256061700526
Transforming Energy Scenario,94.96307643,198.6754284,11524.99765,2259.97671,121.362934766497,11.3752200168906
1.5OC Scenario,94.96307643,283.3114447,11524.99765,-1074.669705,121.362934766497,-3.79324494334485
